park_name,latitude,longitude,ada_swing,baby_swings,baseball___adult,baseball___little_league,basketball,bike_path,bocce,boathouse,community_garden,dog_park_off_leash,dogs_on_leash,drinking_fountain,fishing,fitness_equipment,football,gazebo_shelter,historic_site,ice_rink,lawn,lighting,multipurpose_goal,performance_space,playground_age_6_and_up,pool,scenic_vista,seating,skateboard_features,soccer,softball,stick_ball,swings,tables,tennis_court,tennis_wall,tot_lot_ages_1_5,walking_path,water_play,water_feature,the_geom,cartodb_id,created_at,updated_at
Foss Park,42.39164,-71.08771,false,true,false,true,true,false,false,false,false,false,true,false,false,false,false,false,false,false,true,true,false,false,true,true,false,true,false,true,true,false,true,true,true,false,true,true,true,false,0101000020E61000000F62670A9DC551C019E76F4221324540,19,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Glen Park & Capuano Field,42.38293,-71.08638,false,true,false,false,true,false,false,false,true,false,false,true,false,false,false,true,false,false,false,true,false,false,true,false,false,true,false,true,false,false,true,true,false,false,true,true,false,false,0101000020E6100000D3C1FA3F87C551C02254A9D903314540,20,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Grimmons Park,42.39736,-71.08845,false,true,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,true,false,false,true,false,false,false,false,true,false,false,false,true,false,true,false,0101000020E61000003255302AA9C551C0895E46B1DC324540,21,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Harris Playground,42.39037,-71.08403,false,true,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,0101000020E610000081785DBF60C551C075ABE7A4F7314540,22,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Henry Hansen Park,42.39547,-71.10272,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,0101000020E61000004A29E8F692C651C04A46CEC29E324540,23,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Hodgkins-Curtin Park,42.39976,-71.12458,true,true,false,true,false,false,false,false,false,false,false,true,false,false,false,true,false,false,true,true,false,false,true,false,false,true,false,false,false,false,true,true,false,false,true,true,true,false,0101000020E6100000156F641EF9C751C0DE1FEF552B334540,24,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Hoyt-Sullivan Playground,42.3906,-71.10151,false,true,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,true,true,false,false,true,false,false,false,0101000020E6100000E38DCC237FC651C0A7E8482EFF314540,25,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Kenney Park,42.39531,-71.12037,false,true,false,false,true,false,false,false,false,false,false,true,false,true,false,false,false,false,false,true,false,true,true,false,false,true,false,false,false,false,true,true,false,false,true,false,false,true,0101000020E6100000D95A5F24B4C751C011E4A08499324540,26,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Lexington Park,42.39445,-71.11382,false,true,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,true,false,false,true,true,true,false,0101000020E61000005E68AED348C751C01FF46C567D324540,27,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Lincoln Park,42.37824,-71.09991,false,true,false,true,true,false,false,false,false,false,false,true,false,false,false,false,false,false,true,true,false,false,true,false,false,true,false,true,true,false,true,true,false,false,true,true,true,false,0101000020E6100000C6A2E9EC64C651C0FF04172B6A304540,28,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
